farmer_id,region,coop_member,farm_size_hectares,primary_crop,mobile_money_inflow,subsidy_status,loan_amount_requested,default_flag
NMB-AGRI-00000,Morogoro,0,9.4,Maize,4990160.445899134,0,2716000.0,1
NMB-AGRI-00001,Mwanza,0,3.3,Maize,2196688.452672162,1,2034000.0,0
NMB-AGRI-00002,Mbeya,1,4.4,Coffee,3938549.4930080967,1,568000.0,0
NMB-AGRI-00003,Mwanza,0,8.0,Rice,6530671.273508417,1,3063000.0,1
NMB-AGRI-00004,Mwanza,1,5.7,Maize,3403208.546605253,1,4364000.0,1
NMB-AGRI-00005,Arusha,1,5.7,Rice,5316162.613837087,0,3492000.0,0
NMB-AGRI-00006,Mbeya,0,1.0,Coffee,838115.7716595628,0,2031000.0,1
NMB-AGRI-00007,Mbeya,0,4.3,Rice,2677262.6479669856,1,813000.0,1
NMB-AGRI-00008,Mbeya,1,3.1,Rice,2467963.1048969175,0,4118000.0,1
NMB-AGRI-00009,Mwanza,0,10.0,Coffee,13864360.553553905,1,4720000.0,1
NMB-AGRI-00010,Morogoro,1,3.4,Rice,2726966.1426637564,0,2064000.0,1
NMB-AGRI-00011,Mbeya,1,8.9,Maize,10804203.26685426,0,3697000.0,0
NMB-AGRI-00012,Mwanza,1,6.9,Maize,7673124.849638515,1,2172000.0,1
NMB-AGRI-00013,Arusha,0,3.7,Maize,3430570.300910976,0,2611000.0,1
NMB-AGRI-00014,Morogoro,0,5.7,Maize,4212446.129780915,1,4215000.0,0
NMB-AGRI-00015,Arusha,0,8.5,Rice,7386624.944440536,0,600000.0,0
NMB-AGRI-00016,Morogoro,0,8.9,Maize,9719754.199892282,1,2746000.0,1
NMB-AGRI-00017,Mwanza,1,2.0,Rice,1701506.4294987097,0,1230000.0,1
NMB-AGRI-00018,Dodoma,1,3.7,Cashew,2645116.804224658,0,1831000.0,0
NMB-AGRI-00019,Morogoro,0,3.7,Rice,2280912.1708990387,0,3293000.0,1
NMB-AGRI-00020,Arusha,0,0.9,Maize,1241790.244118609,0,331000.0,1
NMB-AGRI-00021,Mwanza,0,6.2,Cashew,5829940.449661816,1,3050000.0,1
NMB-AGRI-00022,Morogoro,1,8.6,Coffee,9676791.566989198,0,1561000.0,1
NMB-AGRI-00023,Dodoma,0,4.1,Rice,4060682.4806609014,0,3414000.0,0
NMB-AGRI-00024,Dodoma,1,7.5,Maize,10294248.887684725,0,880000.0,1
NMB-AGRI-00025,Mbeya,0,6.5,Maize,6805076.54091337,0,3732000.0,1
NMB-AGRI-00026,Mbeya,1,4.1,Maize,4021203.8135913643,0,3299000.0,0
NMB-AGRI-00027,Arusha,1,1.8,Coffee,2564281.782759083,0,4862000.0,1
NMB-AGRI-00028,Morogoro,0,7.2,Cashew,8781765.091526551,0,4574000.0,1
NMB-AGRI-00029,Morogoro,0,8.6,Cashew,5259329.203182973,1,1560000.0,0
NMB-AGRI-00030,Mbeya,1,7.0,Maize,4743931.228377699,0,331000.0,0
NMB-AGRI-00031,Morogoro,0,0.7,Rice,900986.0040576094,1,3346000.0,1
NMB-AGRI-00032,Morogoro,1,2.6,Maize,3473213.4350678814,0,3094000.0,0
NMB-AGRI-00033,Dodoma,1,1.2,Maize,1254228.9949083559,0,332000.0,1
NMB-AGRI-00034,Mbeya,1,5.9,Rice,6221285.844413172,0,789000.0,0
NMB-AGRI-00035,Mwanza,1,7.7,Maize,8715883.813956123,0,3007000.0,0
NMB-AGRI-00036,Mbeya,0,1.6,Coffee,1502585.2388522234,0,4577000.0,0
NMB-AGRI-00037,Mwanza,0,8.5,Maize,10031692.549613183,1,4551000.0,1
NMB-AGRI-00038,Dodoma,1,5.8,Coffee,3529191.293885211,0,927000.0,1
NMB-AGRI-00039,Arusha,0,7.1,Maize,10375082.620808443,1,2046000.0,1
NMB-AGRI-00040,Morogoro,1,9.7,Cashew,12126501.790810741,0,407000.0,1
NMB-AGRI-00041,Dodoma,0,1.3,Rice,1470526.465211709,0,2453000.0,1
NMB-AGRI-00042,Morogoro,0,9.1,Cashew,7428530.718786274,0,3815000.0,1
NMB-AGRI-00043,Arusha,1,1.7,Maize,1123624.3286764396,1,3992000.0,0
NMB-AGRI-00044,Arusha,0,4.2,Maize,3819240.4480815674,0,2595000.0,0
NMB-AGRI-00045,Dodoma,1,8.6,Coffee,9989559.968936903,1,660000.0,1
NMB-AGRI-00046,Arusha,1,9.1,Maize,10316758.665150307,0,2031000.0,0
NMB-AGRI-00047,Mwanza,1,5.3,Maize,4677998.121847528,0,4674000.0,0
NMB-AGRI-00048,Arusha,1,6.1,Maize,6791047.00238209,0,1302000.0,1
NMB-AGRI-00049,Morogoro,1,7.2,Cashew,9458987.728086341,1,1735000.0,0
NMB-AGRI-00050,Morogoro,1,8.4,Coffee,4420792.0876359,1,3785000.0,1
NMB-AGRI-00051,Morogoro,0,1.7,Cashew,1616055.7814814686,0,3721000.0,1
NMB-AGRI-00052,Morogoro,1,8.2,Coffee,10320152.873427685,1,4579000.0,0
NMB-AGRI-00053,Mwanza,1,5.1,Cashew,5335336.799363223,0,2063000.0,0
NMB-AGRI-00054,Mbeya,1,4.8,Maize,5527085.222059536,1,2670000.0,1
NMB-AGRI-00055,Dodoma,1,4.5,Cashew,4575043.766724039,1,2443000.0,0
NMB-AGRI-00056,Morogoro,0,5.3,Cashew,7906935.086816248,1,4653000.0,1
NMB-AGRI-00057,Arusha,1,9.5,Coffee,5268904.596645864,1,3893000.0,0
NMB-AGRI-00058,Morogoro,1,5.7,Coffee,5648955.484102551,0,4191000.0,0
NMB-AGRI-00059,Arusha,0,9.6,Cashew,5677598.871499369,0,839000.0,1
NMB-AGRI-00060,Arusha,1,2.2,Coffee,1451528.236649855,0,4001000.0,0
NMB-AGRI-00061,Morogoro,1,7.4,Coffee,6534483.793095138,0,2278000.0,1
NMB-AGRI-00062,Mwanza,1,8.2,Coffee,5375428.750303996,0,312000.0,1
NMB-AGRI-00063,Arusha,1,7.0,Rice,10245810.161696557,0,488000.0,0
NMB-AGRI-00064,Arusha,1,6.3,Coffee,9114775.593368502,0,3454000.0,1
NMB-AGRI-00065,Morogoro,0,5.9,Rice,4933046.912701562,0,1986000.0,1
NMB-AGRI-00066,Arusha,1,8.7,Rice,9915805.09472781,0,4367000.0,0
NMB-AGRI-00067,Arusha,0,8.3,Coffee,8580152.560928425,0,3725000.0,1
NMB-AGRI-00068,Morogoro,1,1.7,Cashew,2236497.8668768066,1,304000.0,1
NMB-AGRI-00069,Morogoro,1,8.6,Coffee,9696032.244425705,0,3497000.0,1
NMB-AGRI-00070,Dodoma,0,4.4,Maize,2201110.7997584734,1,1123000.0,1
NMB-AGRI-00071,Mwanza,0,2.9,Cashew,3663205.718268243,0,2228000.0,1
NMB-AGRI-00072,Mwanza,1,8.8,Rice,10972263.467405839,0,3199000.0,1
NMB-AGRI-00073,Arusha,0,4.6,Rice,4644724.445605813,0,4389000.0,0
NMB-AGRI-00074,Mwanza,1,8.2,Cashew,11503935.580511041,0,2389000.0,0
NMB-AGRI-00075,Arusha,0,3.0,Cashew,4225338.617071205,0,4081000.0,1
NMB-AGRI-00076,Dodoma,0,0.5,Coffee,511955.8383521986,0,3958000.0,1
NMB-AGRI-00077,Morogoro,1,5.2,Rice,5761538.802221996,0,2190000.0,0
NMB-AGRI-00078,Morogoro,1,1.5,Maize,2244783.1078870087,0,2605000.0,0
NMB-AGRI-00079,Morogoro,1,7.7,Coffee,6150915.808047915,1,3562000.0,1
NMB-AGRI-00080,Mwanza,0,3.1,Cashew,2556313.45116558,0,350000.0,0
