Farmer_ID,Region,Crop,Coop_Member,Farm_Size_Ha,Loan_Amount_TZS,Probability_of_Default,LGD,Expected_Loss_TZS,Actual_Default,Risk_Category
NMB-AGRI-01889,0.572020725388601,0.5689655172413793,True,7.8,4909000,77.3,0.45,1708418,1,VERY_HIGH
NMB-AGRI-00419,0.5649157581764123,0.5583398590446359,True,0.6,4446000,81.9,0.45,1637905,1,VERY_HIGH
NMB-AGRI-04643,0.5788402848423194,0.5649671052631579,True,1.0,4988000,72.3,0.45,1621754,0,VERY_HIGH
NMB-AGRI-02606,0.572020725388601,0.5640031031807603,False,5.8,4756000,73.5,0.45,1573523,0,VERY_HIGH
NMB-AGRI-02013,0.572020725388601,0.5649671052631579,True,1.0,4605000,75.8,0.45,1570453,1,VERY_HIGH
NMB-AGRI-03177,0.5649157581764123,0.5583398590446359,True,5.8,4845000,71.8,0.45,1565390,0,VERY_HIGH
NMB-AGRI-04192,0.56640625,0.5640031031807603,False,0.5,4807000,70.3,0.45,1521658,1,VERY_HIGH
NMB-AGRI-04587,0.56640625,0.5649671052631579,False,1.2,4871000,68.7,0.45,1505137,1,HIGH
NMB-AGRI-03986,0.5788402848423194,0.5649671052631579,True,7.5,4849000,67.9,0.45,1480627,1,HIGH
NMB-AGRI-01090,0.56640625,0.5689655172413793,False,8.1,4447000,73.5,0.45,1471683,0,VERY_HIGH
NMB-AGRI-02164,0.5649157581764123,0.5583398590446359,False,6.1,4607000,69.7,0.45,1445650,0,HIGH
NMB-AGRI-00656,0.5387634936211972,0.5689655172413793,True,0.8,4795000,66.5,0.45,1435740,0,HIGH
NMB-AGRI-03909,0.56640625,0.5583398590446359,True,7.0,4625000,68.7,0.45,1430063,0,HIGH
NMB-AGRI-03300,0.5387634936211972,0.5649671052631579,True,4.8,4564000,68.8,0.45,1413478,1,HIGH
NMB-AGRI-02319,0.5788402848423194,0.5649671052631579,True,1.7,4853000,64.2,0.45,1401915,1,HIGH
NMB-AGRI-00795,0.572020725388601,0.5649671052631579,False,7.8,4742000,64.7,0.45,1381250,1,HIGH
NMB-AGRI-04632,0.5387634936211972,0.5583398590446359,True,2.7,4931000,62.2,0.45,1380322,0,HIGH
NMB-AGRI-04861,0.5649157581764123,0.5649671052631579,True,7.7,4784000,63.7,0.45,1371105,1,HIGH
NMB-AGRI-02377,0.5387634936211972,0.5583398590446359,False,2.9,4735000,64.1,0.45,1366700,0,HIGH
NMB-AGRI-03341,0.5788402848423194,0.5583398590446359,True,5.4,4707000,64.3,0.45,1362559,1,HIGH
NMB-AGRI-00599,0.56640625,0.5583398590446359,True,5.7,4731000,63.9,0.45,1360617,1,HIGH
NMB-AGRI-03481,0.56640625,0.5640031031807603,False,5.2,4243000,71.1,0.45,1357439,1,VERY_HIGH
NMB-AGRI-01815,0.5649157581764123,0.5583398590446359,False,6.5,4475000,67.2,0.45,1353776,0,HIGH
NMB-AGRI-00182,0.5387634936211972,0.5640031031807603,True,2.7,4790000,62.7,0.45,1352180,1,HIGH
NMB-AGRI-00929,0.56640625,0.5649671052631579,False,4.0,4834000,62.1,0.45,1351328,1,HIGH
NMB-AGRI-03837,0.5649157581764123,0.5649671052631579,False,2.1,4912000,61.0,0.45,1349433,0,HIGH
NMB-AGRI-04503,0.5387634936211972,0.5649671052631579,True,5.9,4431000,67.6,0.45,1348170,1,HIGH
NMB-AGRI-03306,0.572020725388601,0.5640031031807603,False,3.3,4527000,65.9,0.45,1341481,1,HIGH
NMB-AGRI-00690,0.56640625,0.5649671052631579,False,3.1,4992000,59.6,0.45,1338883,0,HIGH
NMB-AGRI-02563,0.56640625,0.5689655172413793,False,6.1,4404000,67.3,0.45,1333870,0,HIGH
NMB-AGRI-00152,0.5387634936211972,0.5583398590446359,False,4.6,4811000,61.5,0.45,1332484,1,HIGH
NMB-AGRI-04406,0.572020725388601,0.5649671052631579,True,7.0,3997000,73.7,0.45,1325269,1,VERY_HIGH
NMB-AGRI-01383,0.5788402848423194,0.5640031031807603,True,1.2,4952000,59.4,0.45,1324552,0,HIGH
NMB-AGRI-03018,0.5649157581764123,0.5689655172413793,False,9.4,4954000,59.3,0.45,1322311,0,HIGH
NMB-AGRI-04616,0.572020725388601,0.5649671052631579,True,5.0,4917000,59.6,0.45,1317714,0,HIGH
NMB-AGRI-00340,0.5387634936211972,0.5649671052631579,False,4.8,4504000,65.0,0.45,1316408,1,HIGH
NMB-AGRI-02671,0.5788402848423194,0.5583398590446359,True,1.4,4525000,64.5,0.45,1312967,0,HIGH
NMB-AGRI-01761,0.5387634936211972,0.5583398590446359,True,4.7,4948000,58.9,0.45,1312400,1,HIGH
NMB-AGRI-04895,0.572020725388601,0.5640031031807603,True,2.5,4927000,59.1,0.45,1310277,1,HIGH
NMB-AGRI-01702,0.5649157581764123,0.5583398590446359,True,1.2,4962000,58.1,0.45,1298266,1,HIGH
NMB-AGRI-04886,0.5788402848423194,0.5583398590446359,False,2.0,4447000,64.8,0.45,1297015,0,HIGH
NMB-AGRI-04562,0.56640625,0.5583398590446359,True,6.4,4740000,60.7,0.45,1294444,0,HIGH
NMB-AGRI-00849,0.5788402848423194,0.5640031031807603,False,1.9,4023000,71.2,0.45,1289073,1,VERY_HIGH
NMB-AGRI-01008,0.5649157581764123,0.5689655172413793,True,7.8,4910000,58.1,0.45,1284687,0,HIGH
NMB-AGRI-03579,0.5788402848423194,0.5583398590446359,False,9.5,4887000,58.4,0.45,1284576,1,HIGH
NMB-AGRI-02165,0.5788402848423194,0.5583398590446359,False,9.7,3971000,71.6,0.45,1280070,0,VERY_HIGH
NMB-AGRI-04989,0.56640625,0.5640031031807603,False,5.7,4826000,58.9,0.45,1278688,1,HIGH
NMB-AGRI-00924,0.5788402848423194,0.5583398590446359,False,1.9,3960000,71.6,0.45,1276545,0,VERY_HIGH
NMB-AGRI-01864,0.5649157581764123,0.5640031031807603,True,0.7,4200000,67.5,0.45,1275889,0,HIGH
NMB-AGRI-00449,0.572020725388601,0.5689655172413793,False,5.1,4327000,65.4,0.45,1273305,0,HIGH
NMB-AGRI-03712,0.5788402848423194,0.5689655172413793,True,4.6,4540000,62.3,0.45,1272428,1,HIGH
NMB-AGRI-02913,0.56640625,0.5649671052631579,True,8.0,4899000,57.5,0.45,1267604,1,HIGH
NMB-AGRI-01100,0.56640625,0.5689655172413793,False,8.9,4974000,56.6,0.45,1266911,1,HIGH
NMB-AGRI-02792,0.56640625,0.5583398590446359,True,7.0,4343000,64.7,0.45,1264830,0,HIGH
NMB-AGRI-03285,0.5387634936211972,0.5640031031807603,True,7.5,4799000,58.2,0.45,1257279,0,HIGH
NMB-AGRI-04305,0.5788402848423194,0.5583398590446359,True,2.5,4482000,62.2,0.45,1255046,0,HIGH
NMB-AGRI-03262,0.5387634936211972,0.5689655172413793,False,5.5,4622000,60.3,0.45,1254972,1,HIGH
NMB-AGRI-01534,0.56640625,0.5649671052631579,True,5.7,4542000,61.2,0.45,1251095,1,HIGH
NMB-AGRI-02765,0.56640625,0.5689655172413793,True,9.2,4831000,57.5,0.45,1251007,1,HIGH
NMB-AGRI-00136,0.5649157581764123,0.5583398590446359,True,7.7,4405000,62.9,0.45,1247163,1,HIGH
NMB-AGRI-04896,0.572020725388601,0.5640031031807603,True,0.9,4947000,55.9,0.45,1244179,1,HIGH
NMB-AGRI-01211,0.5788402848423194,0.5583398590446359,True,3.0,4868000,56.5,0.45,1237973,1,HIGH
NMB-AGRI-00084,0.5387634936211972,0.5583398590446359,True,7.9,4910000,55.9,0.45,1235418,0,HIGH
NMB-AGRI-02423,0.572020725388601,0.5640031031807603,False,8.9,4272000,64.2,0.45,1234677,0,HIGH
NMB-AGRI-03477,0.5788402848423194,0.5649671052631579,True,3.7,4287000,64.0,0.45,1234315,0,HIGH
NMB-AGRI-00086,0.5387634936211972,0.5649671052631579,True,6.6,4588000,59.6,0.45,1229508,0,HIGH
NMB-AGRI-03213,0.56640625,0.5583398590446359,False,5.9,4223000,64.7,0.45,1228758,0,HIGH
NMB-AGRI-01539,0.5649157581764123,0.5649671052631579,False,2.9,4581000,59.4,0.45,1225359,0,HIGH
NMB-AGRI-03642,0.56640625,0.5583398590446359,False,9.2,4709000,57.8,0.45,1224038,1,HIGH
NMB-AGRI-03095,0.5788402848423194,0.5583398590446359,False,3.9,4398000,61.8,0.45,1222695,1,HIGH
NMB-AGRI-02755,0.5387634936211972,0.5640031031807603,True,1.4,4470000,60.8,0.45,1222022,1,HIGH
NMB-AGRI-04707,0.5788402848423194,0.5689655172413793,True,1.0,4285000,63.3,0.45,1220431,0,HIGH
NMB-AGRI-03400,0.572020725388601,0.5583398590446359,True,7.0,4550000,59.6,0.45,1219814,0,HIGH
NMB-AGRI-03153,0.572020725388601,0.5689655172413793,False,6.4,4280000,63.0,0.45,1214180,0,HIGH
NMB-AGRI-03814,0.5649157581764123,0.5640031031807603,False,6.7,3983000,67.6,0.45,1211243,1,HIGH
NMB-AGRI-03709,0.572020725388601,0.5583398590446359,False,5.7,3911000,68.8,0.45,1211147,0,HIGH
NMB-AGRI-02392,0.572020725388601,0.5689655172413793,False,6.7,4408000,61.0,0.45,1209660,1,HIGH
NMB-AGRI-04447,0.5788402848423194,0.5640031031807603,False,2.1,4516000,59.5,0.45,1208161,1,HIGH
NMB-AGRI-01455,0.56640625,0.5689655172413793,False,3.4,4562000,58.8,0.45,1207667,0,HIGH
NMB-AGRI-04912,0.56640625,0.5649671052631579,True,4.6,4786000,55.8,0.45,1202228,1,HIGH
NMB-AGRI-03302,0.5788402848423194,0.5649671052631579,False,6.5,3819000,69.6,0.45,1196574,0,HIGH
NMB-AGRI-00272,0.5387634936211972,0.5583398590446359,True,5.9,4380000,60.6,0.45,1195085,1,HIGH
NMB-AGRI-04170,0.5387634936211972,0.5640031031807603,True,3.4,4752000,55.5,0.45,1187837,0,HIGH
NMB-AGRI-03180,0.5387634936211972,0.5649671052631579,True,5.2,3943000,66.7,0.45,1183068,1,HIGH
NMB-AGRI-04732,0.56640625,0.5689655172413793,False,3.6,4542000,57.9,0.45,1182951,0,HIGH
NMB-AGRI-01367,0.5649157581764123,0.5583398590446359,True,6.4,3535000,74.2,0.45,1179602,1,VERY_HIGH
NMB-AGRI-00842,0.5387634936211972,0.5649671052631579,True,8.9,4597000,57.0,0.45,1178287,1,HIGH
NMB-AGRI-04529,0.5649157581764123,0.5689655172413793,True,9.7,4305000,60.7,0.45,1175702,1,HIGH
NMB-AGRI-04791,0.5387634936211972,0.5649671052631579,True,8.0,3829000,68.1,0.45,1173368,1,HIGH
NMB-AGRI-00753,0.5788402848423194,0.5583398590446359,True,9.3,4828000,54.0,0.45,1172568,0,HIGH
NMB-AGRI-01754,0.5788402848423194,0.5640031031807603,False,7.4,4967000,52.4,0.45,1170755,1,HIGH
NMB-AGRI-01643,0.5387634936211972,0.5583398590446359,False,4.4,4986000,52.1,0.45,1167907,1,HIGH
NMB-AGRI-01098,0.5649157581764123,0.5689655172413793,True,9.5,4604000,56.1,0.45,1163204,0,HIGH
NMB-AGRI-02217,0.572020725388601,0.5640031031807603,False,2.8,4202000,61.4,0.45,1161942,0,HIGH
NMB-AGRI-01073,0.5788402848423194,0.5640031031807603,False,9.1,4267000,60.5,0.45,1161159,0,HIGH
NMB-AGRI-03140,0.5649157581764123,0.5640031031807603,False,8.9,4502000,57.1,0.45,1156814,1,HIGH
NMB-AGRI-01981,0.5649157581764123,0.5640031031807603,False,6.2,3704000,69.3,0.45,1155709,0,HIGH
NMB-AGRI-02152,0.56640625,0.5583398590446359,False,6.6,4227000,60.8,0.45,1155556,1,HIGH
NMB-AGRI-02589,0.5387634936211972,0.5649671052631579,True,5.8,4816000,53.3,0.45,1154121,1,HIGH
NMB-AGRI-02172,0.572020725388601,0.5640031031807603,False,6.3,4279000,59.9,0.45,1153422,0,HIGH
NMB-AGRI-04924,0.5387634936211972,0.5689655172413793,False,5.9,4514000,56.7,0.45,1150873,1,HIGH
NMB-AGRI-02945,0.572020725388601,0.5640031031807603,True,3.9,4670000,54.7,0.45,1148475,0,HIGH
NMB-AGRI-04499,0.5387634936211972,0.5583398590446359,False,5.6,4538000,56.2,0.45,1146726,1,HIGH
NMB-AGRI-00894,0.5387634936211972,0.5640031031807603,False,4.8,4626000,55.0,0.45,1145473,0,HIGH
NMB-AGRI-03167,0.5788402848423194,0.5640031031807603,True,7.0,3815000,66.5,0.45,1141955,0,HIGH
NMB-AGRI-03851,0.572020725388601,0.5640031031807603,True,4.2,4474000,56.6,0.45,1140336,0,HIGH
NMB-AGRI-01142,0.5387634936211972,0.5640031031807603,False,1.1,4803000,52.7,0.45,1139907,1,HIGH
NMB-AGRI-01853,0.5387634936211972,0.5640031031807603,False,7.0,4615000,54.7,0.45,1135410,1,HIGH
NMB-AGRI-00453,0.56640625,0.5689655172413793,False,8.7,4028000,62.5,0.45,1133367,1,HIGH
NMB-AGRI-03710,0.56640625,0.5640031031807603,True,6.6,4567000,55.1,0.45,1132263,0,HIGH
NMB-AGRI-04713,0.572020725388601,0.5640031031807603,False,9.8,4761000,52.7,0.45,1129961,0,HIGH
NMB-AGRI-04088,0.572020725388601,0.5583398590446359,False,8.0,4110000,60.9,0.45,1127171,1,HIGH
